org_id,name,website,country,description,founded,industry,num_employees
dd6ca3d0bc3cafc,"beasley, greene and mahoney",http://www.petersen-lawrence.com/,togo,extended content-based methodology,1976,religious institutions,869
a0b9d56e61070e3,"beasley, sims and allison",http://burke.info/,latvia,secured zero tolerance hub,1972,facilities services,6182
cba7efe5d05adaf,crawford-rivera,https://black-ramirez.org/,cuba,persevering exuding budgetary management,1999,online publishing,7805
ea3f6d52ec73563,montes-hensley,https://krueger.org/,liechtenstein,multi-tiered secondary productivity,2009,printing,8433
bc0ced48a8000e0,velazquez-odom,https://stokes.com/,djibouti,streamlined 6thgeneration function,2002,alternative dispute resolution,4044
c89b9b59bc4baa1,eaton-morales,https://www.reeves-graham.com/,micronesia,customer-focused explicit frame,1990,capital markets / hedge fund / private equity,7013
fec51bce8421a7b,"roberson, pennington and palmer",http://www.keith-fisher.com/,cameroon,adaptive bi-directional hierarchy,1993,telecommunications,5571
e0e8e27eac9cad5,"george, russo and guerra",https://drake.com/,sweden,centralized non-volatile capability,1989,military industry,2880
b97a6cf9bf5983c,davila inc,https://mcconnell.info/,cocos (keeling) islands,profit-focused dedicated frame,2017,consumer electronics,2215
a0a6f9b3dbcbeb5,mays-preston,http://www.browning-key.com/,mali,user-centric heuristic focus group,2006,military industry,5786
8cc1bda330a5871,pineda-morton,https://www.carr.com/,united states virgin islands,grass-roots methodical info-mediaries,1991,printing,6168
ed889cb2fe9cbd3,huang and sons,https://www.bolton.com/,eritrea,re-contextualized dynamic hierarchy,1981,semiconductors,7484
f4dc1417bc6cb8f,gilbert-simon,https://www.bradford.biz/,burundi,grass-roots radical parallelism,1973,newspapers / journalism,1927
7abc3c7eca03b34,sampson-griffith,http://hendricks.org/,benin,multi-layered composite paradigm,1972,textiles,3881
4e0719fbe38e0ab,miles-dominguez,http://www.turner.com/,gibraltar,organized empowering forecast,1996,civic / social organization,897
debdaaedfaed00a,rowe and sons,https://www.simpson.org/,el salvador,balanced multimedia knowledgebase,1978,facilities services,8172
61bdecfefd0cef5,"valenzuela, holmes and rowland",https://www.dorsey.net/,taiwan,persistent tertiary focus group,1999,transportation,1483
4e91ed25f486110,"best, wade and shepard",https://zimmerman.com/,zimbabwe,innovative background definition,1991,gambling / casinos,4873
0a0bffbbbb8ec7c,holmes group,https://mcdowell.org/,ethiopia,right-sized zero tolerance focus group,1975,photography,2988
ba6cd9dae2efd62,good ltd,http://duffy.com/,anguilla,reverse-engineered composite moratorium,1971,consumer services,4292
e7df80c60abd7f9,clements-espinoza,http://www.flowers.net/,falkland islands (malvinas),progressive modular hub,1991,broadcast media,236
afc285dbe2fed24,mendez inc,https://www.burke.net/,kyrgyz republic,user-friendly exuding migration,1993,education management,339
e9eb5a60cef8354,watkins-kaiser,http://www.herring.com/,togo,synergistic background access,2009,financial services,2785
